GENESIS-Tabelle: Temporär
Kassenstatistik: Ausgaben des kommunalen Haushaltes 1),;;;;;;
Gruppierungen, Gemeinde, Quartale, Jahre,;;;;;;
Gebietsstand 01.01.14;;;;;;
Vierteljährliche Kassenergebnisse der Gemeinden;;;;;;
Freistaat Sachsen;;;;;;
Ausgaben (EUR);;;;;;
;;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr
;;2013;2013;2013;2013;2013
;;Quartale;Quartale;Quartale;Quartale;Quartale
;;1.Quartal;2.Quartal;3.Quartal;4.Quartal;Zusammen
999;Ausgaben des Verwaltungs- und Vermögenshaushalts;2407777647;2818178723;2933755532;3592540579;11752252481
899;  Ausgaben des Verwaltungshaushalts;2085258151;2450896491;2467812067;2905824964;9909791673
4;    Personalausgaben;509524342;661292059;616976214;828969436;2616762051
40;      Aufwendungen für ehrenamtliche Tätigkeit;3942771;4636072;5902295;7504866;21986004
41;      Besoldung, Vergütungen, Löhne;396876674;523063797;493015863;663901332;2076857666
410;        Besoldung, Vergütungen, Löhne Beamte;38025447;46020145;42708442;48490726;175244760
411;        Entgelte f. Altersteilzeitbeschäftigte - Beamte;9158;9156;12352;6247;36913
412;        Entgelte f. Alt.TZ-Besch.- tarifl.Besch. (ab 2006);678838;627786;710012;746983;2763619
414;        Tariflich Beschäftigte (ab 2006);351807563;468422901;441335356;606932088;1868497908
416;        Beschäftigungsentgelte und dgl.;5890617;7607893;7957638;7344724;28800872
417;        Entgelte für ABM-Beschäftigte (ab 2006);252445;275417;225090;272208;1025160
419;        Entgelte für Kommunal-Kombi-Beschäftigte (ab 2009);212606;100499;66973;108356;488434
42;      Versorgungsbezüge und dgl.;54189;64892;91246;-66380;143947
420;        Versorgungsbezüge und dgl. - Beamte;42600;38060;79889;-107525;53024
424;        Versorgungsbez.u. dgl. - Tarifl. Besch. (ab 2006);-;7188;4455;29248;40891
426;        Versorgungsbezüge und dgl. - Sonstige;11589;19644;6902;11897;50032
43;      Beiträge zu Versorgungskassen;30733325;36659126;32794489;48247744;148434684
430;        Beiträge zu Versorgungskassen - Beamte;17180416;20138199;17373862;28370127;83062604
431;        Beitr. z. Versorgungsk.-Altersteilz.besch.-Beamte;6000;6000;6000;6000;24000
432;        Altersteilzeit - tariflich Beschäftigte (ab 2006);31312;28195;33120;34850;127477
434;        Beiträge zu Versorg.k. - Tarifl. Besch. (ab 2006);13492876;16466896;15357018;19810134;65126924
436;        Beiträge zu Versorgungskassen - Sonstige;22390;19261;24296;26059;92006
437;        Beiträge zu Versorg.k. ABM-Beschäftigte (ab 2006);-;259;230;382;871
439;        Beiträge zu Versorg.k. Komm.Kombi-Besch. (ab 2009);331;316;-37;192;802
44;      Beiträge zur gesetzlichen Sozialversicherung;76953328;94695563;83611379;107792300;363052570
440;        Beiträge zur gesetzlichen SV - Beamte;-32362;-23891;-26114;181968;99601
441;        Beitr. z. ges.SV-Entg.f.Altersteilz.besch.-Beamte;-;-;-;-;-
442;        Altersteilzeit - tariflich Beschäftigte (ab 2006);169757;153659;179422;175139;677977
444;        Beitr. z. gesetzl.SV - Tarifl. Beschäft. (ab 2006);75767397;93493773;82338635;106192342;357792147
446;        Beitr. z. gesetzl.SV - Sonstige;967516;1000691;1057907;1179550;4205664
447;        Beitr. z. gesetzl. SV - ABM-Beschäftigte (ab 2006);46136;49482;39192;48246;183056
449;        Beitr. z. gesetzl. SV - Komm.-Kombi.Besch. (ab 09);34884;21849;22337;15055;94125
45;      Beihilfen, Unterstützungen und dgl.;477438;1689247;1162071;1022411;4351167
46;      Personal-Nebenausgaben;486617;483362;398871;567163;1936013
5;    Sächl. Verwaltungs- u. Betriebsaufw. (50-56);206833399;229218368;247733087;303558340;987343194
50;      Unterhaltung der Grundstücke und baulichen Anlagen;25027947;29153454;52034111;67349747;173565259
