GENESIS-Tabelle: Temporär
Jahresrechnung: Ausgaben des kommunalen Haushaltes,;;;;;;;;;;;;;;;;;;;;;;
Gruppierungen, Gliederungen, Gemeinde,;;;;;;;;;;;;;;;;;;;;;;
Jahre, Gebietsstand 01.01.14;;;;;;;;;;;;;;;;;;;;;;
Rechnungsergebnisse der Gemeinden;;;;;;;;;;;;;;;;;;;;;;
Freistaat Sachsen;;;;;;;;;;;;;;;;;;;;;;
Gliederung: Gemeindeorgane;;;;;;;;;;;;;;;;;;;;;;
Ausgaben (EUR);;;;;;;;;;;;;;;;;;;;;;
;;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
GRJ999;Ausgaben des Verwaltungs- und Vermögenshaushalts;266563828;295769293;251322804;255186683;254088955;247541004;263442765;278585370;286509404;283288396;284422651;303422823;299418395;293806018;297231310;102548929;103380966;105159300;108367978;90735355;69746331
GRJ899;  Ausgaben des Verwaltungshaushalts;85510514;96944584;82026488;83644253;82915672;81319525;87357771;91610827;94806060;93616279;94139865;100566044;99372793;97695297;98664118;101777314;101996541;104493174;107591929;90571975;69607467
GRJ4;    Personalausgaben;76094932;86169759;72148876;71571342;70685941;69747566;75042430;78560980;80685465;79540347;79686660;84438058;85580249;83575226;83768649;85814287;85956397;86420277;90105744;77966716;61271042
GRJ40;      Aufwendungen für ehrenamtliche Tätigkeit;13063153;13275488;11252080;12783591;11866159;11607246;11470061;10859104;11720049;11902248;11553527;11698675;11219146;11264666;11344261;11633501;11901785;12866810;12290352;10223330;8302325
GRJ41;      Besoldung, Vergütungen, Löhne;54202817;63189384;53041879;51961772;52446536;51451523;55938241;59264783;59966634;58144267;58043720;58877751;59542550;58294674;57972947;57287513;56301586;54308632;55642479;46186957;36228267
GRJ410;        Besoldung, Vergütungen, Löhne Beamte;842428;3837619;11993557;25004853;30258711;30553603;34166500;35286863;36581520;35225935;32898224;33513640;33542126;33570861;32948819;32642735;30506863;29279038;30337624;27136639;21686719
GRJ411;        Entgelte f. Altersteilzeitbeschäftigte - Beamte;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40266;40568;22869;66530;119642;64767;14902
GRJ412;        Entgelte f. Alt.TZ-Besch.- tarifl.Besch. (ab 2006);-;-;-;-;-;-;-;-;-;-;-;1127455;1484334;1496558;1579832;1599718;1744514;1855258;2116748;1668126;1311458
GRJ414;        Tariflich Beschäftigte (ab 2006);51910614;58636018;39886665;25476065;20741349;19727820;20819103;22712749;22290726;22068783;24659342;23749146;24015086;22901482;23174232;22714551;23628583;22679869;22689679;17159585;13126047
GRJ416;        Beschäftigungsentgelte und dgl.;1449775;715747;1161657;1480854;1446476;1170100;952638;1265171;1094388;849549;486154;340465;334807;185527;173816;277701;351609;324573;326708;132584;86898
GRJ417;        Entgelte für ABM-Beschäftigte (ab 2006);-;-;-;-;-;-;-;-;-;-;-;147045;166197;140246;55982;12240;47148;13288;4320;5256;-
GRJ419;        Entgelte für Kommunal-Kombi-Beschäftigte (ab 2009);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;90076;47758;20000;2243
GRJ42;      Versorgungsbezüge und dgl.;31401;10447;17962;4994;562;767;14250;80995;45132;55819;14766;21862;-;-;22805;14444;13712;9800;11281;13877;19452
GRJ420;        Versorgungsbezüge und dgl. - Beamte;31401;10447;13478;4994;562;767;14250;80995;45132;55819;14766;21862;-;-;22805;6750;8100;9800;11281;13877;19452
GRJ424;        Versorgungsbez.u. dgl. - Tarifl. Besch. (ab 2006);-;-;4484;-;-;-;-;-;-;-;-;-;-;-;-;7694;5612;-;-;-;-
GRJ426;        Versorgungsbezüge und dgl. - Sonstige;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GRJ43;      Beiträge zu Versorgungskassen;1001;187658;763768;1754917;1796601;2115873;2832538;3265182;3992655;4593542;4660129;8715524;8774112;8506569;8636213;11324996;12201014;13661084;16564716;17302663;13592122
GRJ430;        Beiträge zu Versorgungskassen - Beamte;1001;180874;751368;1742715;1793086;1897428;2594085;2999382;3713192;4298062;4311211;7489209;7648400;7449985;7575111;10374782;11314568;12818400;15673419;16630808;13084922
GRJ431;        Beitr. z. Versorgungsk.-Altersteilz.besch.-Beamte;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10597;13905;16323;-;28600;24400;1690
GRJ432;        Altersteilzeit - tariflich Beschäftigte (ab 2006);-;-;-;-;-;-;-;-;-;-;-;42119;59104;63438;72820;73276;74656;80275;91295;74060;60932
GRJ434;        Beiträge zu Versorg.k. - Tarifl. Besch. (ab 2006);-;6525;12400;12202;3515;217843;237699;264975;278460;294356;348815;1183817;1067659;993050;977371;862702;795512;759153;769464;573245;444578
GRJ436;        Beiträge zu Versorgungskassen - Sonstige;-;259;-;-;-;602;754;825;1003;1124;103;379;-1051;96;92;331;-45;-;849;-;-
GRJ437;        Beiträge zu Versorg.k. ABM-Beschäftigte (ab 2006);-;-;-;-;-;-;-;-;-;-;-;-;-;-;222;-;-;-;-;-;-
GRJ439;        Beiträge zu Versorg.k. Komm.Kombi-Besch. (ab 2009);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3256;1089;150;-
GRJ44;      Beiträge zur gesetzlichen Sozialversicherung;8563606;9115598;6665942;4649515;4141118;4213661;4365511;4715753;4497725;4433471;4936877;4581926;5548620;4965823;5227514;4999596;5000448;5001185;4984360;3830560;2975352
GRJ440;        Beiträge zur gesetzlichen SV - Beamte;101293;140870;181773;69908;36795;35276;31349;38494;39346;39480;23180;36261;8169;34065;58413;222622;118263;180177;161321;141777;166185
